Format Version,1.24,Take Name,Take 2025-12-08 02.40.56 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-08 02.40.56.675 PM,Capture Start Frame,298011,Total Frames in Take,7305,Total Exported Frames,7305,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Camera_Rigid_Body_5550,Camera_Rigid_Body_5550,Camera_Rigid_Body_5550,Camera_Rigid_Body_5550,Camera_Rigid_Body_5550,Camera_Rigid_Body_5550,Camera_Rigid_Body_5550,Camera_Rigid_Body_5550:Marker 001,Camera_Rigid_Body_5550:Marker 001,Camera_Rigid_Body_5550:Marker 001,Camera_Rigid_Body_5550:Marker 002,Camera_Rigid_Body_5550:Marker 002,Camera_Rigid_Body_5550:Marker 002,Camera_Rigid_Body_5550:Marker 003,Camera_Rigid_Body_5550:Marker 003,Camera_Rigid_Body_5550:Marker 003,Camera_Rigid_Body_5550:Marker 004,Camera_Rigid_Body_5550:Marker 004,Camera_Rigid_Body_5550:Marker 004,Camera_Rigid_Body_5550:Marker 005,Camera_Rigid_Body_5550:Marker 005,Camera_Rigid_Body_5550:Marker 005,Camera_Rigid_Body_5550:Marker 001,Camera_Rigid_Body_5550:Marker 001,Camera_Rigid_Body_5550:Marker 001,Camera_Rigid_Body_5550:Marker 002,Camera_Rigid_Body_5550:Marker 002,Camera_Rigid_Body_5550:Marker 002,Camera_Rigid_Body_5550:Marker 003,Camera_Rigid_Body_5550:Marker 003,Camera_Rigid_Body_5550:Marker 003,Camera_Rigid_Body_5550:Marker 004,Camera_Rigid_Body_5550:Marker 004,Camera_Rigid_Body_5550:Marker 004,Camera_Rigid_Body_5550:Marker 005,Camera_Rigid_Body_5550:Marker 005,Camera_Rigid_Body_5550:Marker 005,Unlabeled 1077,Unlabeled 1077,Unlabeled 1077,Unlabeled 1078,Unlabeled 1078,Unlabeled 1078,Unlabeled 1080,Unlabeled 1080,Unlabeled 1080,Unlabeled 1081,Unlabeled 1081,Unlabeled 1081,Unlabeled 1083,Unlabeled 1083,Unlabeled 1083,Unlabeled 1104,Unlabeled 1104,Unlabeled 1104,Unlabeled 1106,Unlabeled 1106,Unlabeled 1106,Unlabeled 1108,Unlabeled 1108,Unlabeled 1108,Unlabeled 1109,Unlabeled 1109,Unlabeled 1109,Unlabeled 1115,Unlabeled 1115,Unlabeled 1115,Unlabeled 1116,Unlabeled 1116,Unlabeled 1116,Unlabeled 1117,Unlabeled 1117,Unlabeled 1117,Unlabeled 1118,Unlabeled 1118,Unlabeled 1118,Unlabeled 1119,Unlabeled 1119,Unlabeled 1119,Unlabeled 1120,Unlabeled 1120,Unlabeled 1120
,ID,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,F770B176D46C11F0E38A15EFF630669C,"D01EAC43D46D11F0E38A15EFF630669C","D01EAC43D46D11F0E38A15EFF630669C","D01EAC43D46D11F0E38A15EFF630669C","D01EAC41D46D11F0E38A15EFF630669C","D01EAC41D46D11F0E38A15EFF630669C","D01EAC41D46D11F0E38A15EFF630669C","D01EAC44D46D11F0E38A15EFF630669C","D01EAC44D46D11F0E38A15EFF630669C","D01EAC44D46D11F0E38A15EFF630669C","D01EAC42D46D11F0E38A15EFF630669C","D01EAC42D46D11F0E38A15EFF630669C","D01EAC42D46D11F0E38A15EFF630669C","D01EAC45D46D11F0E38A15EFF630669C","D01EAC45D46D11F0E38A15EFF630669C","D01EAC45D46D11F0E38A15EFF630669C","912DD0595D46811F0","912DD0595D46811F0","912DD0595D46811F0","922DD0595D46811F0","922DD0595D46811F0","922DD0595D46811F0","3062DD0595D46811F0","3062DD0595D46811F0","3062DD0595D46811F0","3092DD0595D46811F0","3092DD0595D46811F0","3092DD0595D46811F0","31C2DD0595D46811F0","31C2DD0595D46811F0","31C2DD0595D46811F0","3422DD0595D46811F0","3422DD0595D46811F0","3422DD0595D46811F0","3462DD0595D46811F0","3462DD0595D46811F0","3462DD0595D46811F0","3482DD0595D46811F0","3482DD0595D46811F0","3482DD0595D46811F0","3492DD0595D46811F0","3492DD0595D46811F0","3492DD0595D46811F0","34F2DD0595D46811F0","34F2DD0595D46811F0","34F2DD0595D46811F0","3502DD0595D46811F0","3502DD0595D46811F0","3502DD0595D46811F0","3512DD0595D46811F0","3512DD0595D46811F0","3512DD0595D46811F0","38F2DD0595D46811F0","38F2DD0595D46811F0","38F2DD0595D46811F0","3922DD0595D46811F0","3922DD0595D46811F0","3922DD0595D46811F0","3932DD0595D46811F0","3932DD0595D46811F0","3932DD0595D46811F0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.031396,-0.180219,0.001789,-0.983124,1988.423218,1324.227783,1957.857056,2018.803345,1346.918335,1961.238770,2045.008667,1349.030273,1889.289673,1944.929199,1350.518066,1980.285522,1921.348755,1289.915161,1970.666626,2012.071899,1284.966553,1987.576538,2018.742554,1346.987427,1961.009033,2045.027954,1349.133789,1889.212036,1944.904785,1350.260010,1980.309082,1921.717407,1290.203735,1970.636108,2011.767090,1284.621826,1987.779175,-4686.710449,1031.020020,-2073.537598,-4302.632324,1031.239380,-2419.702881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.031140,-0.179046,0.002612,-0.983344,1988.371582,1324.236450,1957.404663,2018.780518,1346.876465,1960.865356,2045.164551,1348.960815,1888.980835,1944.866089,1350.593018,1979.732666,1921.210083,1290.030884,1970.043091,2011.883545,1284.930176,1987.173096,2018.835083,1347.168579,1961.011963,2045.019409,1348.973389,1888.878418,1944.676758,1350.410400,1979.485107,1921.214233,1290.404053,1970.013428,2012.336914,1284.140015,1987.545532,-4686.332520,1030.824585,-2073.454346,-4302.342773,1030.878174,-2419.654297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.034259,-0.177144,0.000199,-0.983589,1988.566040,1324.952393,1957.913818,2018.826050,1347.792114,1961.365967,2045.461670,1349.656982,1889.568115,1944.822021,1351.164673,1979.943848,1921.563965,1290.411865,1970.487671,2012.202759,1285.944702,1987.974731,2019.192261,1347.601562,1961.775757,2045.211060,1349.734009,1889.695190,1944.536621,1350.934937,1979.730347,1921.390991,1290.791260,1970.527100,2012.712524,1286.256714,1988.068970,-4687.084961,1030.349487,-2073.580078,-4302.316406,1030.258911,-2419.806152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.034255,-0.178803,-0.001589,-0.983287,1988.864868,1325.364136,1958.751221,2019.058960,1348.304688,1962.111938,2045.436890,1350.304199,1890.222656,1945.109253,1351.413818,1980.950195,1922.025024,1290.588013,1971.537231,2012.738892,1286.418579,1988.704956,2019.250854,1348.202148,1962.275269,2045.329590,1350.195679,1890.240234,1945.325195,1350.827515,1981.048218,1921.863403,1290.724976,1971.408203,2012.620972,1287.181519,1988.522217,-4687.983887,1029.950073,-2073.766113,-4303.556641,1029.621460,-2419.958740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.034260,-0.179432,-0.001803,-0.983172,1988.753296,1325.354614,1959.119385,2018.943115,1348.306274,1962.442383,2045.227051,1350.319946,1890.519287,1945.016479,1351.386475,1981.376587,1921.943359,1290.552368,1971.989990,2012.681030,1286.416382,1989.040039,2019.029907,1348.300415,1962.301758,2045.317383,1350.129272,1890.473511,1945.321289,1350.958374,1981.984741,1921.697388,1290.349243,1971.723389,2012.175049,1287.246948,1988.893555,-4688.102051,1030.168335,-2073.969482,-4303.945312,1030.258789,-2420.158936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.033222,-0.180144,0.000975,-0.983079,1988.519287,1324.902954,1958.770508,2018.847656,1347.673340,1962.079346,2045.053711,1349.606812,1890.125488,1944.964111,1351.168579,1981.109009,1921.521606,1290.481201,1971.688599,2012.254517,1285.793823,1988.621094,2018.862305,1347.386475,1961.646973,2045.172974,1349.499756,1889.898438,1945.266357,1350.723389,1981.829712,1921.472290,1290.370728,1971.253052,2011.550171,1286.465332,1988.818970,-4687.197266,1030.915405,-2073.684082,-4303.158203,1031.049927,-2419.899414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
